"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"Kyrgyz Republic","917","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Value",,,,"4.3832836151123","4.83892440795898","5.62152004241943","5.81940507888794","5.63226509094238","6.19181776046753","5.00512886047363","4.9085111618042","6.12655401229858",,,,,"8.48169994354248","8.95121002197266","8.79823875427246","7.78680419921875","7.46541976928711","7.8384575843811","9.21688270568848","9.38102531433105","9.05792999267578","8.58908462524414","8.8811731338501","8.88784790039063","9.64687156677246","8.5640230178833",,,
"Kyrgyz Republic","917","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Source Coverage and Accounting Basis",,,,"GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,,,,"GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,,
"Slovak Republic","936","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Value",,,,,,"8.17618656158447","7.42615556716919","7.0391526222229","7.32153987884521","6.71472311019897","6.84635496139526","7.14163017272949","6.91630744934082","7.30811166763306","7.5948486328125","7.68476581573486","7.28109884262085","6.56564569473267","6.73769950866699","6.58593320846558","6.13313341140747","6.60675477981567","5.88196563720703","6.30785512924194","6.58338117599487","6.79791975021362","6.69158744812012","7.00537300109863","7.07199573516846","7.27382564544678",,,
"Slovak Republic","936","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Source Coverage and Accounting Basis",,,,,,"OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"Cape Verde","624","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Value",,,,,,,,,,,,,,,"6.15760326385498","12.0323429107666","8.7564640045166","9.09096527099609","9.55512523651123","8.06244564056396","8.49684619903564","7.92876386642456","6.83255910873413","6.87428569793701","6.48545789718628","7.19546890258789","7.05438470840454","7.70072174072266","9.0362606048584","8.41229248046875",,,
"Cape Verde","624","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Source Coverage and Accounting Basis",,,,,,,,,,,,,,,"OECD | General","GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,,
"Afghanistan, I.R. of","512","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Value",,,,,,,,,,,,,,"0.137145936489105","0.497165083885193","0.439111471176147","1.61965715885162","1.39076638221741","1.32657706737518","2.03291010856628","2.32768559455872","2.27968192100525","1.92110466957092","1.62471497058868","1.35519874095917","1.34794580936432","2.3710241317749","2.60690426826477",,,,,
"Afghanistan, I.R. of","512","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Source Coverage and Accounting Basis",,,,,,,,,,,,,,"GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash",,,,,
"Mongolia","948","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Value",,,,"1.96527254581451","1.81876599788666","1.36501944065094","1.59064197540283","2.19945645332336","2.87086415290833","4.32405757904053","4.88060283660889","6.12577390670776","6.25975036621094","5.70227670669556",,,"10.3984432220459",,"5.41533851623535","4.94574928283691","5.91678094863892","8.45910453796387","7.7685661315918","7.48446750640869","6.17142200469971","4.53378534317017","4.76434755325317","5.80597925186157","6.772385597229","6.66902351379395",,,
"Mongolia","948","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Source Coverage and Accounting Basis",,,,"GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS01 | Central | Cash","GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | Central | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash",,,"GFS14 | General | Accrual/Cash",,"GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","OECD | General",,,
