"","country","year","log_GDP_pc","sum_ntl_built","sum_ntl","sum_gap","sum_np_str","rev_forgone","rev_forgone_built","rev_forgone_str"
"1","MEX",2010,9.13468948140847,172234463548.814,176147677909.225,59927781676.1864,232162245225,25.385011123744,25.812888576309,25.812888576309
"2","MEX",2011,9.15671669963861,202217654931.581,208407882822.523,59613490369.5194,261831145301.1,22.2420658694279,22.7679141459528,22.7679141459528
"3","MEX",2012,9.17893938760544,218938700873.109,224614444393.862,76041023630.0912,294979724503.2,25.2917481028594,25.7783899412606,25.7783899412606
"4","MEX",2013,9.17923383841751,221589446298.219,226619260654.526,66123076815.0812,287712523113.3,22.5874662977118,22.9823422698366,22.9823422698366
"5","MEX",2014,9.19411446007198,238914104373.887,243084951690.011,85682206311.9127,324596310685.8,26.0616683347098,26.396543488398,26.396543488398
"6","MEX",2015,9.21405361837665,342639898522.013,352213538194.498,90688942995.4868,433328841517.5,20.47605214399,20.9284345528209,20.9284345528209
"7","MNE",2011,8.8379385984428,18922119.0761724,63968000.0087157,14665308.8119841,33587427.8881565,18.6502501699681,43.6630898347395,43.6630898347395
"8","MNE",2012,8.80948132635313,18192032.3410418,23835028.5109326,14949103.1757179,33141135.5167597,38.5443802029566,45.107395816773,45.107395816773
"9","MNE",2013,8.84337988680942,19796941.6695909,22819516.089903,14326482.9306117,34123424.6002026,38.5680377655198,41.984305791297,41.984305791297
"10","MNE",2014,8.8600895787157,24903036.71002,27156196.83002,14968437.862544,39871474.572564,35.5336917976556,37.5417213007817,37.5417213007817
"11","MNE",2015,8.89287001182865,25926611.82,29433802,16594801.4154,42521413.2354,36.0532368658568,39.0269282056328,39.0269282056328
"12","MNE",2016,8.92170489571064,28553768.30201,32430869.08,18474705.22,47028473.52201,36.2921064619047,39.2840843778473,39.2840843778473
"13","MNE",2017,8.96767858895995,35520600.29,41767016,23698634.8,59219235.09,36.2001057201741,40.0184750174219,40.0184750174219
"14","MNE",2018,9.01744487639142,36305787.6575818,42011703.088,27095908.3137,63401695.9712818,39.208283666759,42.7368825054353,42.7368825054353
"15","MNE",2019,9.05315750498271,41880033.51139,49228058.63999,29474005.82831,71354039.3397,37.4501050606896,41.3067096145617,41.3067096145617
"16","CRI",2006,8.89424564558685,207689118102.56,208019178656.528,421712074459.891,629401192562.451,66.9669914543576,67.0021092179687,67.0021092179687
"17","CRI",2007,8.95922484310144,309852398141.847,310626983561.157,478445287554.153,788297685696,60.6338994624532,60.6934786484533,60.6934786484533
"18","CRI",2008,8.99147887985879,352674465680.9,353162366946.2,558356626133.4,911031091814.3,61.2556217009776,61.2884270526316,61.2884270526316
"19","CRI",2009,8.9688994876161,303741592628.5,304643476404,1228671041771.7,1532412634400.2,80.131703392044,80.178863981542,80.178863981542
"20","CRI",2010,9.0047804592387,326329098576.682,326890231174.662,536296642838.618,862625741415.3,62.1298422142558,62.1702572843146,62.1702572843146
"21","CRI",2011,9.03485289808097,351249026380.2,351254078597,2374510400901.6,2725759427281.8,87.1135572703034,87.1137187359754,87.1137187359754
"22","CRI",2012,9.06992420993208,369529808149.2,370900721027,2258531404887.4,2628061213036.6,85.894265253262,85.9390714981777,85.9390714981777
"23","CRI",2013,9.08088538916815,369972997460,369980382253,2856502089796.8,3226475087256.8,88.5330112449689,88.5332138803354,88.5332138803354
"24","CRI",2014,9.1042602643453,306807396128.2,307325732087,2275358410393.9,2582165806522.1,88.1005297151131,88.1182147423199,88.1182147423199
"25","CRI",2015,9.12906412137742,372823851128.8,386650378221,2304856764177.3,2677680615306.1,85.6344286764006,86.0766123861945,86.0766123861945
"26","CRI",2016,9.16007162512694,346367909005.8,348856326955,1398804442224.2,1745172351230,80.038670369717,80.1527964408971,80.1527964408971
"27","CRI",2018,9.20397863170132,260484404028,260484472812,258163249089.6,518647653117.6,49.7762234726599,49.7762300740736,49.7762300740736
"28","CRI",2019,9.21502402732924,617667798970.8,617667887081,1336085608433.1,1953753407403.9,68.3855773771261,68.3855804611728,68.3855804611728
"29","DOM",2006,8.48026675006975,22790611208.523,23746280473.4662,16816951483.5492,39607562692.0722,41.4586083805404,42.4589405167192,42.4589405167192
"30","DOM",2007,8.53885347628303,26204450198.4842,26649042928.996,17016553601.2223,43221003799.7065,38.9701617598334,39.3710282160033,39.3710282160033
"31","DOM",2008,8.55775965687096,26534689493.7514,27911180459.8853,13660644597.6339,40195334091.3853,32.8603437032964,33.9856476042121,33.9856476042121
"32","DOM",2009,8.5547086738656,26127417298.8738,27451653699.5082,14768514490.7507,40895931789.6245,34.9797623358547,36.1124293896087,36.1124293896087
"33","DOM",2010,8.6225238565709,29329487489.8643,30580923685.4544,17953933444.9041,47283420934.7685,36.9918333058694,37.9708851220243,37.9708851220243
"34","DOM",2011,8.64127052160772,36404517718.0233,39864200435.9969,20989066406.8253,57393584124.8486,34.4912730174996,36.5704054327182,36.5704054327182
"35","DOM",2012,8.65615877230884,48749190190.4767,50969559182.32,31475265867.725,80224456058.2018,38.1773699545352,39.2340034625977,39.2340034625977
"36","DOM",2013,8.69201602027745,42951494285.5182,44872766671.1591,26720175066.0626,69671669351.5808,37.3223594640623,38.3515642939827,38.3515642939827
"37","DOM",2014,8.74857412531641,42317955490.5928,43927492172.7312,29028508778.1622,71346464268.7551,39.7890624483396,40.6866816396321,40.6866816396321
"38","DOM",2015,8.80415476071651,42727676041.1532,44628018759.6759,29080815547.3087,71808491588.4619,39.4536364883918,40.4977390612413,40.4977390612413
"39","GTM",2006,7.9213567120067,2797691897.58509,4501100088.92902,1084536098.86154,3882227996.44663,19.4165187706315,27.9359197825116,27.9359197825116
"40","GTM",2007,7.96273032339383,3344111069.80465,4029660714.73595,1078315583.09441,4422426652.89906,21.1104265216036,24.382893549801,24.382893549801
"41","GTM",2008,7.97573986302146,2969981286.44481,3555451904.7827,1854777129.67077,4824758416.11558,34.2827839239183,38.442901586025,38.442901586025
"42","GTM",2009,7.96217587057951,2755069774.87498,3247687089.55567,1315794646.02761,4070864420.90259,28.8331305408289,32.3222419118512,32.3222419118512
"43","GTM",2010,7.97210119588563,3646953957.17427,4415874874.43235,1539917265.60549,5186871222.77975,25.8557926367743,29.6887506835038,29.6887506835038
