"Category","Albania","Argentina","Armenia","Australia","Austria","Belgium","Benin","Bhutan","Bolivia","Brazil","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cameroon","Canada","Central African Republic","Chile","Colombia","Costa Rica","Côte d'Ivoire","Czechia","Denmark","Dominican Republic","DR Congo","Ecuador","El Salvador","Equatorial Guinea","Estonia","Eswatini","Ethiopia","Finland","France","Gabon","Germany","Ghana","Greece","Guatemala","Guinea","Honduras","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Latvia","Lesotho","Liberia","Lithuania","Luxembourg","Madagascar","Mali","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","North Macedonia","Norway","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Romania","Russian Federation","Rwanda","Senegal","Seychelles","Sierra Leone","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Tanzania","Tonga","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay"
1990,,,,2.6381515065144607,,,,,,,,,,,,5.6458581655526014,,,,,,,,,,,,,,,,9.06265460262316,,,1.2162827726209973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,2.8878660060971924,,,,,,,,,,,,7.605593261638731,,,,,,,,,,,,,,,,7.682021657326319,,,1.185381259085944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,2.6578473196874333,,,,,,,,,,,,6.999092473094325,,,,,,,,,,,,,,,,7.771814772003491,,,1.1259491991152517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,2.7859806246308754,,,,,,,,,,,,7.033654290215883,,,,,,,,,,,,,,,,6.984528865450133,,,1.3182771357097602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.270889894419301,,,,,,,,,
1994,,,,3.297597257328798,,,,,,1.3376829290003485,,,,,,7.886389922876067,,,,,,,,,,,,,,,,6.133951889277014,,,1.2853238883155695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.613653082242164,,,,,,,,5.757933376788227,
1995,,,,3.293768371430865,,,,,,0.9927830566068736,,,,,,6.375019389842251,,,,,,,,,,,,,,,,7.627677602005092,,,1.3114951887512587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.384739638236389,,,,,,,,5.81642069439445,
1996,,,,3.676735635498521,,,,,,2.4290734838779913,,,,,,6.815850501375843,,,,,,,,,,,,,,,,8.186164199719837,,,1.2775202033300428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9976687512061706,,8.258409449865312,,,,,,,,5.640092504394208,
1997,,,,4.166732236309495,,,,,,1.5259770190601933,,,,,,6.91864606373618,,,,,,,,,,,,,,,,8.198166180836948,,,1.2452378750329305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.881392825633271,,7.801608971948009,,,,,,,,5.542643295579738,
1998,,,,4.239764389550991,,,,,,1.723901710779668,,,,,,7.140305438956862,,,,,,,,,,,,,,,,7.473811776814913,,,1.2532186483025203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6493107952167798,,,,,,,,,,,,,,,,,,,,,,,,,,5.388416331859463,,8.961359276514115,,,,,,,5.115583200551118,6.11239535553464,
1999,,,,4.13673356609982,,,,,,1.4261971240496083,,,,,,7.900548649211747,,,,,,,,,,,,,,,,7.206498786599008,3.77976675167737,,1.3086318709919207,,,,,,,,,,,3.723057228884669,,,,,,,,,,,,,,,,,,,1.791174107600503,,,,,,,,,,,,,,,,,,,,,,,,,,4.9514978377054515,,8.175350741226508,,,,,,,4.872805962971872,6.267820615323915,
