"Category","Albania","Argentina","Armenia","Australia","Austria","Belgium","Benin","Bhutan","Bolivia","Brazil","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cameroon","Canada","Central African Republic","Chile","Colombia","Costa Rica","Côte d'Ivoire","Czechia","Denmark","Dominican Republic","DR Congo","Ecuador","El Salvador","Equatorial Guinea","Estonia","Eswatini","Ethiopia","Finland","France","Gabon","Germany","Ghana","Greece","Guatemala","Guinea","Honduras","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Latvia","Lesotho","Liberia","Lithuania","Luxembourg","Madagascar","Mali","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","North Macedonia","Norway","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Romania","Russian Federation","Rwanda","Senegal","Seychelles","Sierra Leone","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Tanzania","Tonga","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay"
1990,,,,25.975096136238783,,,,,,35.51100566818435,,,,,,19.869101280973847,,,,,,,,,,,,,,,,16.142806885591934,,,15.17279110057445,,,,,,,,,,,,,,2.852650308341115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,20.57990334944176,,,,,,42.05754149599461,,,,,,16.678532618878105,,,,,,,,,,,,,,,,14.364251902450716,,,16.851216469120402,,,,,,,,,,,,,,3.1492067117445317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,10.24747298710352,,,,,,41.76718778083275,,,,,,14.203325113356138,,,,,,,,,,,,,,,,16.54095399978753,,,14.931333900182938,,,,,,,,,,,,,,4.728044049645224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,10.362284448663187,,,,,,20.325966495608984,,,,,,13.752283800243607,,,,,,,,,,,,,,,,24.370646309072384,,,14.50007757607997,,,,,,,,,,,,,,2.5016713083196995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.475466615355013,,,,,,,,,
1994,,,,11.8628067967275,,,,,,34.30117965746538,,,,,,13.735630343590893,,,,,,,,,,,,,,,,36.455582502470136,,,13.067970102799025,,,,,,,,,,,,,,2.135394746023453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.49684132292828,,,,,,,,13.128135463959294,
1995,,,,16.175507531106746,,,,,,29.969797168271295,,,,,,18.841481816810017,,,,,,,,,,,,,,,,29.949447918052414,,,14.222317047151698,,,,,,,,,,,,,,2.2635880651336664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47375896598253,,,,,,,,14.093302727518228,
1996,,,,13.182503770739066,,,,,,13.651442762594613,,,,,,17.510451326678613,,,,,,,,,,,,,,,,32.19482325640727,,,12.86699004340056,,,,,,,,,,,,,,1.7636609496641673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.913279818239385,,10.187534814631428,,,,,,,,12.535907865030351,
1997,,,,16.48762064624423,,,,,,26.661472528774876,,,,,,16.831083557779657,,,,,,,,,,,,,,,,31.244524799370154,,,8.458764831663244,,,,,,,,,,,,,,2.5405748249450153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.988063770366251,,7.544452792386677,,,,,,,,12.262763896572105,
1998,,,,14.856273645618003,,,,,,20.336415281224152,,,,,,16.126150272491735,,,,,,,,,,,,,,,,26.479342514438027,,,7.085040673381643,,,,,,,,,,,,,,3.316105387971926,,,,,,,,,,,,,,,,53.227728100997204,,,,,,,,,,,,,,,,,,,,,,,,,,14.792973745668494,,3.6386254081791325,,,,,,,1.5289620699794177,11.982901169045917,
1999,,,,15.351043643263756,,,,,,12.313346632345324,,,,,,14.978902953586498,,,,,,,,,,,,,,,,26.335527322822593,7.153406130257169,,2.8941412192497498,,,,,,,,,,,,,,8.321660041096932,,,,,,,,,,,,,,,,51.49483425328696,,,,,,,,,,,,,,,,,,,,,,,,,,11.000595382361572,,4.035002430724355,,,,,,,1.539524326458107,10.597463699089682,
